#==================================
# IVS source Name Translation Table
#==================================
  # File format      : 26/04/2018
  # Date last revised: 27/04/2018
# Columns      Format             Content
#   1          A8                 IVS source name
#                                 Source name used now or in the past in IVS schedules and databases
#   2          A16                J2000 source name long
#                                 ICRF designations following therecommendations of the IAU Task Group on Designations
#   3          A8                 IERS designations source name constructed from B1950 coordinates

0048+892,                ,0048+892
0114+140,J011725.2+141812,0114+140
0114+074,                ,0114+074
0115-214,J011748.7-211106,0115-214
0115+027,                ,0115+027
0116-219,J011857.2-214130,0116-219
0116+082,J011901.2+082954,0116+082
0116+319,J011935.0+321050,0116+319
0117-171,J011943.6-165408,0117-171
0117-542,                ,0117-542
0118-488,                ,0118-488
0118-272,J012031.6-270124,0118-272
0118-283,J012100.7-280622,0118-283
0115+832,                ,0115+832
0118+111,                ,0118+111
0119+115,J012141.5+114950,0119+115
0119+041,J012156.8+042224,0119+041
0119-005,                ,0119-005
0119-011,J012217.4-005615,0119-011
0119-046,                ,0119-046
0119+247,J012238.8+250231,0119+247
0119+296,J012245.4+295412,0119+296
0120+304,J012302.2+304406,0120+304
0121-040,                ,0121-040
0120+259,J012343.0+261522,0120+259
0121-096,J012346.3-092303,0121-096
0118+806,                ,0118+806
0122-345,J012421.4-341621,0122-345
0121+560,J012425.8+561851,0121+560
0122+278,J012455.8+280511,0122+278
0122-514,J012457.3-511316,0122-514
0122+470,J012507.7+471803,0122+470
0122-260,J012518.8-254904,0122-260
0118+841,                ,0118+841
0122-003,J012528.8-000555,0122-003
0123-015,                ,0123-015
0122+705,J012607.8+704652,0122+705
0123-226,J012615.0-222233,0123-226
0124-155,J012633.8-151834,0124-155
0123+257,J012642.7+255901,0123+257
0123+731,J012704.7+732312,0123+731
0125-484,                ,0125-484
0124-086,                ,0124-086
0125-176,                ,0125-176
0125+487,J012808.0+490105,0125+487
0125+628,J012830.5+630629,0125+628
0127+145,J012955.3+144647,0127+145
0127+233,                ,0127+233
0127+084,J013027.6+084246,0127+084
0128+554,                ,0128+554
0128+383,J013126.7+383439,0128+383
0131-795,                ,0131-795
0128+697,                ,0128+697
0124+845,                ,0124+845
0129+220,J013203.0+221650,0129+220
0129+560,J013220.4+562040,0129+560
0130-083,                ,0130-083
0130-171,J013243.4-165448,0130-171
0129+431,J013244.1+432532,0129+431
0130-447,J013300.8-443043,0130-447
0131-522,J013305.7-520003,0131-522
0130+242,                ,0130+242
0131-450,                ,0131-450
0131-367,                ,0131-367
0131-001,J013412.7+000345,0131-001
0132-389,J013432.0-384333,0132-389
0132-097,J013435.6-093102,0132-097
0130+691,J013440.7+692510,0130+691
0131+533,                ,0131+533
0133-204,J013537.5-200845,0133-204
0133+476,J013658.5+475129,0133+476
0134+311,J013708.7+312235,0134+311
0134+215,J013715.6+214544,0134+215
0135-247,J013738.3-243053,0135-247
3C48    ,J013741.2+330935,0134+329
0135-274,J013809.8-271127,0135-274
0133+758,                ,0133+758
0136-059,J013851.8-054008,0136-059
0136-231,J013857.4-225447,0136-231
0136+176,J013941.9+175307,0136+176
0137-273,                ,0137-273
0137+012,J013957.3+013146,0137+012
0137-158,J014004.4-153255,0137-158
0138-381,                ,0138-381
0137+467,J014043.0+465828,0137+467
0137+635,J014043.0+634606,0137+635
0137+434,J014054.6+434245,0137+434
0138-097,J014125.8-092843,0138-097
0139-022,J014133.7-020221,0139-022
0139-097,                ,0139-097
0138+580,                ,0138+580
0140+412,J014303.1+412920,0140+412
0140-322,J014310.1-320056,0140-322
0140+120,J014331.0+121542,0140+120
0140+490,J014346.8+491541,0140+490
0141+339,                ,0141+339
0138+817,                ,0138+817
0141+268,J014433.5+270503,0141+268
0142-398,J014454.0-393810,0142-398
0142-278,J014503.3-273334,0142-278
0141+579,                ,0141+579
0143+230,J014552.9+231919,0143+230
0144-522,                ,0144-522
0144+209,J014658.7+211024,0144+209
0143+653,                ,0143+653
0144+487,J014737.7+485937,0144+487
0144+584,J014746.5+584044,0144+584
0145+210,                ,0145+210
0145+386,J014824.3+385405,0145+386
0145+420,                ,0145+420
0146+056,J014922.3+055553,0146+056
0147+187,J014949.7+185720,0147+187
0147-076,J015002.6-072548,0147-076
0147+265,                ,0147+265
0148-177,J015106.0-173244,0148-177
0148+250,J015106.2+251728,0148+250
0149-348,J015123.4-343513,0149-348
0148+274,J015127.1+274441,0148+274
0148+546,                ,0148+546
0149-175,J015148.0-171955,0149-175
0147+755,                ,0147+755
0149+370,J015212.2+371605,0149+370
0149+218,J015218.0+220707,0149+218
0150-144,J015232.0-141239,0150-144
0150-299,J015233.6-294247,0150-299
0149+335,J015234.5+335033,0149+335
0150+000,J015243.1+002039,0150+000
0150-193,J015301.5-190656,0150-193
0150-334,J015310.1-331025,0150-334
0149+710,J015325.8+711506,0149+710
0151+081,J015402.7+082351,0151+081
0152-513,                ,0152-513
0151+474,J015456.2+474326,0151+474
0152+043,J015503.7+043830,0152+043
0153-149,                ,0153-149
0153-410,J015537.0-404842,0153-410
0153+222,J015558.9+223011,0153+222
0153+389,J015631.4+391430,0153+389
0155-549,J015649.7-543948,0155-549
0154+410,                ,0154+410
0154-000,J015710.5+001124,0154-000
0152+756,                ,0152+756
0153+744,J015734.9+744243,0153+744
0155+211,J015800.1+212442,0155+211
0156-144,J015843.7-141307,0156-144
0156+128,J015856.2+130702,0156+128
0158+031,J020040.8+032249,0158+031
0158-159,J020051.1-154236,0158-159
0158-141,J020058.3-135617,0158-141
0159-668,                ,0159-668
0159+034,J020151.5+034309,0159+034
0159-117,J020157.1-113233,0159-117
0155+810,                ,0155+810
0159-062,J020206.8-055900,0159-062
0156+795,                ,0156+795
0202-765,J020213.6-762003,0202-765
0159-200,J020213.8-194819,0159-200
0159+418,J020243.6+420516,0159+418
0157+808,J020307.8+810613,0157+808
0159+723,J020333.3+723253,0159+723
0201-440,                ,0201-440
0200+30A,                ,0200+30A
0200+304,J020345.3+304129,0200+304
0201+113,J020346.6+113445,0201+113
0200+539,J020346.6+541157,0200+539
0201+398,                ,0201+398
0202-337,J020428.6-332850,0202-337
0201+088,J020434.7+090349,0201+088
0202+149,J020450.4+151411,0202+149
0201+438,J020454.7+440306,0201+438
0201+365,J020455.5+364917,0201+365
0202-172,J020457.6-170119,0202-172
0202+319,J020504.9+321230,0202+319
0202+145,J020513.1+144432,0202+145
0202+240,J020521.3+241632,0202+240
0200+751,                ,0200+751
0203-349,J020555.5-344409,0203-349
0204-224,J020620.0-221219,0204-224
0203-120,J020626.0-115039,0203-120
0159+831,                ,0159+831
0203+625,J020703.0+624612,0203+625
0159+839,                ,0159+839
0205-391,                ,0205-391
0201+796,                ,0201+796
0205-242,                ,0205-242
0204+316,J020734.9+315206,0204+316
0206-689,J020750.9-683755,0206-689
0206-625,                ,0206-625
0206-270,J020822.3-265018,0206-270
0205-010,J020826.3-004744,0205-010
0206-178,J020834.9-173934,0206-178
0206+293,J020908.6+293245,0206+293
0206-048,J020930.7-043826,0206-048
0205+643,J020935.9+643725,0205+643
0206+136,J020935.9+135200,0206+136
0205+614,                ,0205+614
0206+355,                ,0206+355
UGC01651,                ,0206+353
0205+722,J020951.7+722926,0205+722
0207-078,J021016.5-073720,0207-078
0207-149,J021023.1-144459,0207-149
0208-512,J021046.2-510101,0208-512
0207+507,                ,0207+507
0208+106,J021113.1+105134,0208+106
0209+168,J021148.7+170722,0209+168
0209-162,J021149.7-155818,0209-162
0210-180,J021222.6-174614,0210-180
0210+225,                ,0210+225
0210+119,J021305.1+121310,0210+119
0210+181,J021310.5+182025,0210+181
0210-075,J021316.6-071932,0210-075
0210+366,J021348.1+365234,0210+366
0159+870,J021357.8+871728,0159+870
0212-620,                ,0212-620
0210+515,J021417.9+514451,0210+515
0212-214,                ,0212-214
0211+171,J021444.9+172249,0211+171
0212-039,J021511.5-034307,0212-039
0213-026,J021542.0-022256,0213-026
0213+051,J021555.0+052425,0213+051
0214-522,J021603.1-520012,0214-522
0213-015,J021605.6-011803,0213-015
0213-013,J021612.2-010518,0213-013
0212+547,                ,0212+547
0213+443,J021617.1+443743,0213+443
0214-105,J021638.8-101703,0214-105
0214-330,J021648.1-324740,0214-330
0214-085,J021702.6-082052,0214-085
0215-261,                ,0215-261
0214+083,J021717.1+083703,0214+083
0212+735,J021730.8+734932,0212+735
0211+795,                ,0211+795
0215+015,J021748.9+014449,0215+015
0215-015,J021754.9-012150,0215-015
0215-167,J021757.2-163110,0215-167
0216+011,J021907.0+012059,0216+011
0217-189,J021921.1-184238,0217-189
0216+472,J021923.3+472740,0216+472
0216+478,J021926.6+480638,0216+478
0217+166,J022000.7+165228,0217+166
0213+798,                ,0213+798
0218-133,J022028.2-130519,0218-133
0218-220,J022035.1-215112,0218-220
0217+324,J022048.0+324106,0217+324
0218+095,                ,0218+095
0219-637,                ,0219-637
0218+35B,                ,0218+35B
0218+35A,                ,0218+357
0219-474,                ,0219-474
0219-164,J022200.7-161516,0219-164
0215+806,                ,0215+806
0210+860,                ,0210+860
0219+428,J022239.6+430207,0219+428
0210+86A,                ,0210+86A
0210+861,                ,0210+861
0220-349,J022256.4-344128,0220-349
UG01841 ,J022311.4+425931,0220+427
0220-023,J022313.0-020507,0220-023
0219+628,                ,0219+628
0221-540,                ,0221-540
0221-171,J022343.7-165637,0221-171
0221+067,J022428.4+065923,0221+067
0219+767,                ,0219+767
0222-234,J022502.8-231248,0222-234
0222+185,J022504.6+184648,0222+185
0222-262,                ,0222-262
0222+296,J022519.1+295512,0222+296
0221+618,                ,0221+618
0223+113,J022541.9+113425,0223+113
0223+341,J022610.3+342130,0223+341
0224-189,J022647.6-184339,0224-189
0223+617,                ,0223+617
0225-306,J022740.5-302603,0225-306
0225-06Z,                ,0225-06Z
0224+498,J022800.4+500559,0224+498
0225+419,J022812.4+421203,0225+419
0226-559,J022821.5-554603,0226-559
0224+540,J022825.6+541908,0224+540
0226-375,J022833.7-371956,0226-375
0226-13A,                ,0226-13A
4C67.05 ,J022850.0+672103,0224+671
0226-038,J022853.2-033737,0226-038
0227-542,                ,0227-542
0223+774,                ,0223+774
0226+086,                ,0226+086
0227-369,J022928.4-364356,0227-369
0230-790,J022934.9-784745,0230-790
0223+814,                ,0223+814
0227+403,J023045.7+403253,0227+403
0228-163,J023105.0-160649,0228-163
0229-479,                ,0229-479
0229-589,                ,0229-589
0229-208,                ,0229-208
0229+131,J023145.8+132254,0229+131
0229-398,J023151.8-393547,0229-398
0228+626,                ,0228+626
0229+230,J023220.7+231756,0229+230
0229+262,J023227.6+262838,0229+262
0230-288,J023236.7-283926,0230-288
0229+200,                ,0229+200
0227+782,                ,0227+782
0230+344,J023320.4+344253,0230+344
0230-05Z,                ,0230-05Z
0232-507,                ,0232-507
0231+045,J023407.1+044643,0231+045
0232-042,                ,0232-042
0231+620,                ,0231+620
0234-301,J023631.1-295355,0234-301
0235-618,J023653.2-613615,0235-618
0233+434,                ,0233+434
0234+052,J023714.0+052649,0234+052
0235-266,J023716.7-262353,0235-266
0235+205,                ,0235+205
0234+285,J023752.4+284808,0234+285
0234+507,                ,0234+507
0234+469,J023816.5+471218,0234+469
0235+164,J023838.9+163659,0235+164
0237-140,                ,0237-140
0237-027,J023945.4-023440,0237-027
0237+040,J023951.2+041621,0237+040
0236+420,J024005.2+421622,0236+420
0237-233,J024008.1-230915,0237-233
LSI61303,                ,0236+610
0237+185,J024042.8+184800,0237+185
0238-052,J024056.1-050442,0238-052
NGC1052 ,J024104.7-081520,0238-084
0239+175,J024224.2+174258,0239+175
0239+108,J024229.1+110100,0239+108
0240-217,J024235.9-213225,0240-217
M77     ,                ,0240-002
0240-060,J024312.4-055055,0240-060
0240+110,                ,0240+110
0241-564,                ,0241-564
0238+711,J024330.8+712017,0238+711
0241-322,                ,0241-322
0242+131,J024445.6+132007,0242+131
0241+622,J024457.6+622806,0241+622
0242+238,J024516.8+240535,0242+238
0242-113,J024524.9-110716,0242-113
0244-452,J024554.1-445939,0244-452
0244-470,                ,0244-470
0243+354,J024621.0+353637,0243+354
0244-297,J024621.4-293505,0244-297
0243+339,                ,0243+339
0244-128,J024658.4-123630,0244-128
0244+327,J024741.2+325431,0244+327
0245-167,J024807.7-163146,0245-167
0245+043,J024814.8+043440,0245+043
0246+061,J024918.0+061951,0246+061
0248-266,J025035.5-262742,0248-266
0244+790,                ,0244+790
0247+467,                ,0247+467
0250-602,                ,0250-602
0247+620,                ,0247+620
0248+430,J025134.5+431515,0248+430
